uniqueid,ts,speed
it_191021217,1/31/2023 2:46,0
it_220403844,1/31/2023 2:25,53
it_220403844,1/31/2023 2:25,55
it_220403844,1/31/2023 2:25,53
it_220403844,1/31/2023 2:26,45
it_220403844,1/31/2023 2:26,50
it_220403844,1/31/2023 2:26,47
it_220403844,1/31/2023 2:26,47
it_220403844,1/31/2023 2:26,51
it_220403844,1/31/2023 2:26,51
it_220403844,1/31/2023 2:27,47
it_220403844,1/31/2023 2:27,41
it_220403844,1/31/2023 2:27,8
it_220403844,1/31/2023 2:27,11
it_220403844,1/31/2023 2:27,15
it_220403844,1/31/2023 2:27,19
it_220403844,1/31/2023 2:28,23
it_220403844,1/31/2023 2:28,31
it_220403844,1/31/2023 2:28,34
it_220403844,1/31/2023 2:28,29
it_220403844,1/31/2023 2:28,17
it_220403844,1/31/2023 2:28,21
it_220403844,1/31/2023 2:29,39
it_220403844,1/31/2023 2:29,47
it_220403844,1/31/2023 2:29,22
it_220403844,1/31/2023 2:29,13
it_220403844,1/31/2023 2:29,21
it_220403844,1/31/2023 2:29,26
it_220403844,1/31/2023 2:30,34
it_220403844,1/31/2023 2:30,38
it_220403844,1/31/2023 2:30,29
it_220403844,1/31/2023 2:30,19
it_220403844,1/31/2023 2:30,26
it_220403844,1/31/2023 2:30,21
it_220403844,1/31/2023 2:31,29
it_220403844,1/31/2023 2:31,37
it_220403844,1/31/2023 2:31,38
it_220403844,1/31/2023 2:31,36
it_220403844,1/31/2023 2:31,42
it_220403844,1/31/2023 2:31,34
it_220403844,1/31/2023 2:32,35
it_220403844,1/31/2023 2:32,45
it_220403844,1/31/2023 2:32,32
it_220403844,1/31/2023 2:32,30
it_220403844,1/31/2023 2:32,27
it_220403844,1/31/2023 2:32,28
it_220403844,1/31/2023 2:33,30
it_220403844,1/31/2023 2:33,31
it_220403844,1/31/2023 2:33,21
it_220403844,1/31/2023 2:33,34
it_220403844,1/31/2023 2:33,37
it_220403844,1/31/2023 2:33,31
it_220403844,1/31/2023 2:34,31
it_220403844,1/31/2023 2:34,35
it_220403844,1/31/2023 2:34,36
it_220403844,1/31/2023 2:34,36
it_220403844,1/31/2023 2:34,47
it_220403844,1/31/2023 2:34,45
it_220403844,1/31/2023 2:35,44
it_220403844,1/31/2023 2:35,47
it_220403844,1/31/2023 2:35,43
it_220403844,1/31/2023 2:35,49
it_220403844,1/31/2023 2:35,45
it_220403844,1/31/2023 2:35,41
it_220403844,1/31/2023 2:36,38
it_220403844,1/31/2023 2:36,39
it_220403844,1/31/2023 2:36,42
it_220403844,1/31/2023 2:36,44
it_220403844,1/31/2023 2:36,42
